Date,Daily Tmax (C),Daily Tmin (C),Daily DSWR,Daily DLWR,Daily USWR,Daily ULWR,Daily UGRD,Daily VGRD,Daily Pres (kPa),Observed Rainfall (mm)
2015-01-01,30.8146606445313,13.0498596191406,780.0,378.72308,0.0,380.9417,0.019060466,0.42473012,94.120953125,0.26625
2015-01-02,30.4790588378906,12.2580200195313,750.0,386.15634,0.0,380.58154,1.2617341,0.5816472,94.2549140625,0.40715
2015-01-03,29.6184936523438,11.488671875,800.0,377.1186,0.0,373.53568,1.7292044,0.33168203,94.304890625,0.0
2015-01-04,29.6256958007813,11.5986572265625,800.0,358.14856,0.0,372.3943,1.484569,0.25691432,94.3071328125,0.0
2015-01-05,29.9282470703125,11.3177429199219,810.0,334.21564,0.0,370.12604,1.422006,0.25073597,94.312765625,0.0
2015-01-06,29.6942687988281,11.6841064453125,820.0,358.5952,0.0,371.85565,1.4421446,0.46769783,94.3215234375,0.0
2015-01-07,29.2582946777344,11.7492309570313,820.0,335.06158,0.0,371.36887,1.6598941,0.21014138,94.3513984375,0.0
2015-01-08,29.2541748046875,11.9043823242188,830.0,341.98816,0.0,371.39655,1.9265963,0.09617517,94.3880546875,0.0
2015-01-09,28.8337646484375,11.6609436035156,840.0,346.11108,0.0,367.10632,1.7618023,0.2109329,94.408359375,0.0
2015-01-10,28.9667297363281,11.0733276367188,840.0,353.75845,0.0,360.36182,1.8596741,0.44303912,94.3788203125,0.0
2015-01-11,29.2645202636719,10.4118286132813,840.0,356.15527,0.0,355.8069,1.3227907,0.41213137,94.3178125,0.0
2015-01-12,29.3620849609375,10.0169921875,850.0,346.45718,0.0,355.14172,0.84765166,0.31079495,94.2675703125,0.0
2015-01-13,29.9040466308594,10.5841003417969,850.0,348.44937,0.0,355.44666,1.1254572,0.47341087,94.23578125,0.0
2015-01-14,29.0531860351563,12.3019958496094,840.0,356.6264,0.0,369.20953,1.4802322,0.64832634,94.27128125,0.0
2015-01-15,29.0767456054688,13.1220642089844,830.0,359.06012,0.0,376.39386,0.91119504,0.6813196,94.2947109375,0.0
